X,Y,Z,Name,original_Indirizzo,Regione,lat,lon,formatted,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url,Indirizzo,Regione,code,level,license,name2,url
12.51289,41.928632,0,,"Via Lucrino  17/A, Roma",Lazio,41.928632,12.51289,"Via Lucrino, 17, 00199 Roma RM, Italia","17",Via Lucrino,Roma,"00199",Trieste,Roma,Roma,RM,Lazio,LAZ,Italia,it,"95.0",1,1,"95.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Lucrino  17/A, Roma",Lazio,it,"95",BSD-3-Clause License,,
14.200493,37.798186,0,,"Via Nazionale  30, Gangi",Sicilia,37.798186,14.200493,"Via Nazionale, 30, 90024 Gangi PA, Italia","30",Via Nazionale,Comune di Gangi,"90024",,Gangi,Palermo,PA,Sicilia,SIC,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Nazionale  30, Gangi",Sicilia,it,"1",BSD-3-Clause License,,
14.15239,37.852846,0,,"Viale Del Parco Delle Madonie  14, Geraci Siculo",Sicilia,37.852846,14.15239,"Viale Parco delle Madonie, 14, 90010 Geraci Siculo PA, Italia","14",Viale Parco delle Madonie,,"90010",,Geraci Siculo,Palermo,PA,Sicilia,SIC,Italia,it,"45.0",1,9,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Viale Del Parco Delle Madonie  14, Geraci Siculo",Sicilia,it,"0",Open Database License,,https://www.openstreetmap.org/copyright
16.9259655,41.0652871,0,,"Via Dante  64, Triggiano",Puglia,41.0652871,16.9259655,"Via Dante Alighieri, 64, 70019 Triggiano BA, Italia","64",Via Dante Alighieri,,"70019",,Triggiano,Bari,BA,Puglia,PUG,Italia,it,"45.0",1,9,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Dante  64, Triggiano",Puglia,it,"0",Open Database License,,https://www.openstreetmap.org/copyright
14.336506,41.069963,0,,"Via Roma  85, Caserta",Campania,41.069963,14.336506,"Via Roma, 85, 81100 Caserta CE, Italia","85",Via Roma,Comune di Caserta,"81100",,Caserta,Caserta,CE,Campania,CAM,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Roma  85, Caserta",Campania,it,"1",BSD-3-Clause License,,
14.1557218,40.9194572,0,Via Campana,"Via Campana 295, Qualiano",Campania,40.9194572,14.1557218,"Via Campana, 295, 80019 Qualiano NA, Italia","295",Via Campana,,"80019",,Qualiano,Napoli,NA,Campania,CAM,Italia,it,"5.0",1,1,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Campana 295, Qualiano",Campania,it,"0",Open Database License,Via Campana,https://www.openstreetmap.org/copyright
14.956618,37.877971,0,,"Via Saitta  58, Randazzo",Sicilia,37.877971,14.956618,"Via Vincenzo Saitta, 58, 95036 Randazzo CT, Italia","58",Via Vincenzo Saitta,Comune di Randazzo,"95036",,Randazzo,Catania,CT,Sicilia,SIC,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Saitta  58, Randazzo",Sicilia,it,"1",BSD-3-Clause License,,
15.2233157,38.1510951,0,Via San Vito,"Via San Vito   28, Barcellona P.G.",Sicilia,38.1510951,15.2233157,"Via San Vito, 28, 98051 Barcellona Pozzo di Gotto ME, Italia","28",Via San Vito,Serro del Carmine,"98051",Pozzo di Gotto,Barcellona Pozzo di Gotto,Messina,ME,Sicilia,SIC,Italia,it,"0.0",7.29e+15,7.29e+15,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via San Vito   28, Barcellona P.G.",Sicilia,it,"0",Open Database License,Via San Vito,https://www.openstreetmap.org/copyright
14.066481,41.250425,0,,"Piazza Giovanni Xiii, Teano",Campania,41.250425,14.066481,"Comune di Teano (Teano), CE, Italia",,,Comune di Teano,,,Teano,Caserta,CE,Campania,CAM,Italia,it,"5.0",1,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/,"Piazza Giovanni Xiii, Teano",Campania,it,,CC0,,https://www.whosonfirst.org/docs/licenses/
13.3030869,38.1842799,0,Via Giuseppe Lanza di Scalea,"Via G. Lanza Di Scalea  1427, Palermo",Sicilia,38.1842799,13.3030869,"Via Giuseppe Lanza di Scalea, 1427, 90147 Palermo PA, Italia","1427",Via Giuseppe Lanza di Scalea,,"90147",Cardillo,Palermo,Palermo,PA,Sicilia,SIC,Italia,it,"45.0",1,9,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via G. Lanza Di Scalea  1427, Palermo",Sicilia,it,"0",Open Database License,Via Giuseppe Lanza di Scalea,https://www.openstreetmap.org/copyright
